Number of nodes,Sum of weights,Sum of weights in MST
200,695343077236,16207998022
291,1007513673028,22974190780
382,1336857414997,32369318184
473,1634224773343,38909770637
564,1954115547180,46840045760
655,2299313935292,52388439132
746,2617516261899,61679855432
837,2917272151422,69421001006
928,3270229136449,81241801103
1019,3554545977360,87443536580
1110,3863196113991,91093612444
1201,4177145720282,100902578920
1292,4525284866958,107238577085
1383,4865101106969,116886929261
1474,5156502124774,122318835168
1565,5484512225996,129326479293
1656,5830985770533,139299836454
1747,6169459475264,147083186498
1838,6504010794985,155499460613
1929,6802349704928,162403065570
2000,6969764962384,166947713361
